Name	GroundTruth	Maestro	GiantMIDI-Piano
Scriabin, Op.42, No. 4	scriabin_etude_op_42_no_4_dery.mid	MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.mid	Scriabin_op_42_Hf4EIJB4DGc_cut_no_4.mid
Debussy, Estampes, L. 100, No. 1	debussy_estampes_no_1_galimberti.mid	MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4_cut_no_1.mid	Debussy_Estampes_R-YcnPXY2yE_cut_no_1.mid
Debussy, Estampes, L. 100, No. 2	debussy_estampes_no_2_galimberti.mid	MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4_cut_no_2.mid	Debussy_Estampes_R-YcnPXY2yE_cut_no_2.mid
Debussy, Estampes, L. 100, No. 3	debussy_estampes_no_3_galimberti.mid	MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4_cut_no_3.mid	Debussy_Estampes_R-YcnPXY2yE_cut_no_3.mid
Debussy, Pour le piano, L. 95, No. 1	debussy_pour_le_piano_no_1_dery.mid	MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3_cut_no_1.mid	Debussy_Pour_le_piano_KLicw5ryMpQ_cut_no_1.mid
Debussy, Pour le piano, L. 95, No. 2	debussy_pour_le_piano_no_2_dery.mid	MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3_cut_no_2.mid	Debussy_Pour_le_piano_KLicw5ryMpQ_cut_no_2.mid
Debussy, Pour le piano, L. 95, No. 3	debussy_pour_le_piano_no_3_dery.mid	MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3_cut_no_3.mid	Debussy_Pour_le_piano_KLicw5ryMpQ_cut_no_3.mid
Debussy, Préludes, Book 1, No. 6	debussy_preludes_book1_6_galimberti.mid	MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.mid	Debussy_Preludes_Livre_1_tzgppFRs8Tk_cut_no_6.mid
Debussy, Suite Bergamasque, L. 75, No. 1	debussy_suite_bergamasque_no_1_galimberti.mid	MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav_cut_no_1.mid	Debussy_Suite_bergamasque_xAKeiyjjTKk_cut_no_1.mid
Debussy, Suite Bergamasque, L. 75, No. 2	debussy_suite_bergamasque_no_2_galimberti.mid	MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav_cut_no_2.mid	Debussy_Suite_bergamasque_xAKeiyjjTKk_cut_no_2.mid
Debussy, Suite Bergamasque, L. 75, No. 3	debussy_suite_bergamasque_no_3_galimberti.mid	MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav_cut_no_3.mid	Debussy_Suite_bergamasque_xAKeiyjjTKk_cut_no_3.mid
Debussy, Suite Bergamasque, L. 75, No. 4	debussy_suite_bergamasque_no_4_galimberti.mid	MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav_cut_no_4.mid	Debussy_Suite_bergamasque_xAKeiyjjTKk_cut_no_4.mid
Scarlatti, Keyboard Sonata in F major, K. 525	scarlatti_k525.mid	MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.mid	Scarlatti_Keyboard_Sonata_in_F_major_K525_VkLHGcBuPNg_cut.mid
Scarlatti, Keyboard Sonata in C major, K. 132	scarlatti_k132_sankey.mid	MIDI-UNPROCESSED_19-21_R3_2014_MID--AUDIO_21_R3_2014_wav--1.mid	Scarlatti_Keyboard_Sonata_in_C_major_K132_KkQWgp6KVIY_cut.mid
Scarlatti, Keyboard Sonata in D minor, K. 9	scarlatti_k009_sankey.mid	MIDI-UNPROCESSED_11-13_R1_2014_MID--AUDIO_11_R1_2014_wav--1_cut.mid	Scarlatti_Keyboard_Sonata_in_D_minor_K9_PzzKSiUS-X0_cut.mid
Scarlatti, Keyboard Sonata in F minor, K. 466	scarlatti_k466_sankey.mid	MIDI-Unprocessed_083_PIANO083_MID--AUDIO-split_07-09-17_Piano-e_2_-06_wav--1.mid	Scarlatti_Keyboard_Sonata_in_F_minor_K466_uthlSgmBYMc_cut.mid
Scarlatti, Keyboard Sonata in F minor, K. 239	scarlatti_k239_sankey.mid	MIDI-Unprocessed_XP_04_R1_2004_03-05_ORIG_MID--AUDIO_04_R1_2004_06_Track06_wav_cut.mid	Scarlatti_Keyboard_Sonata_in_F_minor_K239_gQ9QO83rCCg_cut.mid
Liszt, Two Concert Études, S. 145, No. 1	liszt_two_concert_etudes_no_1_gnomenreigen.mid	MIDI-Unprocessed_14_R1_2008_01-05_ORIG_MID--AUDIO_14_R1_2008_wav--3.mid	Liszt_2_Konzertetuden_S_145_6GQ2otGSr0k_cut_no_1.mid
Liszt, Two Concert Études, S. 145, No. 2	liszt_two_concert_etudes_no_2_waldesrauschen.mid	MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--3.mid	Liszt_2_Konzertetuden_S_145_6GQ2otGSr0k_cut_no_2.mid
