composer_name	nationality	birth	death
H.J. Golde	unknown	unknown	unknown
Thierry Pélicant	French	1957	unknown
Oscar Werner	Austrian	1922	1984
Ata Ghavidel	Italian	1320	1360
Brian Henderson-Sellers	Australian	1950	2011
Peter McKenzie Armstrong	unknown	unknown	unknown
Arseny Koreshchenko	Russian	1870	1921
Alfred Bruneau	French	1857	1911
Théodore Dubois	French	1837	1924
Charles Tomlinson Griffes	American	1884	1920
Gustav Adolf Merkel	German	1827	1885
August Ferdinand Haeser	unknown	1779	1844
Miloje Milojević	unknown	1884	1946
Christian Friedrich Schale	unknown	1713	1800
Ludvig Schytte	Danish	1848	1909
Cyrille Rose	French	1830	1902
José Broca	Spanish	1805	1882
Alejandro Díaz	unknown	unknown	unknown
Ernst Rentsch	unknown	unknown	unknown
Bruno Karl Ludwig Henze	German	1872	1946
Hermann Zopff	German	1826	1883
Fritz Volbach	German	1861	1940
Annie K. Pfund	unknown	unknown	unknown
Michelangelo Rossi	Italian	1600	1656
Joseph Jongen	Belgian	1873	1953
John Bull	British	1560	1628
Federico Moretti	Italian	1769	1839
Hélène Montgeroult	French	1764	1836
Richard Wagner	German	1813	1848
George Rosey	American	1864	1936
Heinrich Strobl	German	1898	1970
Ernest Wunderlich	Australian	1859	1945
John C. Folwell	American	1904	unknown
Emerson Whithorne	American	1884	1958
Henri Cellot	French	1885	1951
Ludwig Minkus	Austrian	1826	1917
Francisco Tárrega	Spanish	1852	1909
Ferdinand Hiller	German	1811	1885
Gian Francesco Malipiero	Italian	1882	1973
Tomás Adiego Navarro	unknown	unknown	unknown
Evgeny Pavlov	Russian	1959	unknown
Ascanio Trombetti	Italian	1544	1590
Anton Liste	German	1772	1832
Karl Weinberger	Austrian	1861	1939
René Vierne	French	1878	1918
Emil Breslaur	German	1836	1899
Otto Winter-Hjelm	Norwegian	1837	1931
Paul Barbot	unknown	unknown	unknown
Joel Engel	Russian	1868	1927
Walford Davies	British	1869	1941
Frederick Hall	American	1898	1954
Edwin Henry Lemare	British	1866	1934
Felix Woyrsch	German	1860	1944
